case,class,count,failed,mean_output_len,request_throughput,output_throughput,ttft_p50_ms,e2e_p50_ms,ttft_p90_ms,e2e_p90_ms,ttft_p95_ms,e2e_p95_ms,ttft_p99_ms,e2e_p99_ms
baseline,all,200,0,107.965,5.388294186343788,581.747181828607,5615.797100996133,7029.445590043906,8396.73125334084,10869.962742982898,8946.518053632462,11478.627138922457,9575.28459782363,12383.582440053571
baseline,short,124,0,17.233870967741936,,,6234.268209489528,6424.675406946335,8454.390236211475,8538.625212409534,8930.039836117065,9321.594279969577,9558.840677865082,9600.840370017104
baseline,long,76,0,256,,,4998.373782495037,9504.48331492953,8263.379813462961,11649.81180644827,8868.06153994985,12173.329334473237,9482.707049959572,13336.705427995184
bounded_preemption,all,200,0,107.935,5.629013200725418,607.567539820298,4432.728383922949,5768.782689992804,6162.249450129457,9697.227667458355,6623.727277183207,10309.233166492779,7111.412075131665,10973.336025952594
bounded_preemption,short,124,0,17.18548387096774,,,4689.223779016174,4829.516460944433,6217.532838182524,6542.325540364255,6589.691606257111,6900.232535414398,7045.184455778217,7208.381695188581
bounded_preemption,long,76,0,256,,,3794.715578958858,8700.893849483691,5967.072217550594,10436.056348553393,6626.648577774176,10829.261811682954,7226.99543175986,11060.452506702859
bounded_preemption_quota_0_3,all,200,0,108.01,5.804331755599731,626.9258729223269,4026.2561694835313,5206.54177403776,5115.495361504145,9083.994384179823,5260.338514356408,9441.685443674214,5887.645470306742,9955.551080486037
bounded_preemption_quota_0_3,short,124,0,17.306451612903224,,,4211.489211011212,4401.901050470769,5174.0865311119705,5517.848247289658,5281.201255938504,5702.524255117168,5822.952434526522,6350.340404729359
bounded_preemption_quota_0_3,long,76,0,256,,,3454.732518468518,8447.96455197502,5004.617200989742,9530.226217990275,5194.2297297064215,9926.352381502511,5502.1400209807325,10159.817702020518
eos_aware_waiting,all,200,0,107.975,5.0745350407640375,547.922921026497,7091.024376975838,8618.64201904973,10574.219799775165,13183.556308643892,11485.240309534129,14051.737292547477,12398.078515764788,14818.844215538114
eos_aware_waiting,short,124,0,17.25,,,7686.151770001743,7789.615216548555,10520.523418986704,10612.74572139373,11365.238459053215,11566.920287540415,12602.956747413844,12724.278273686068
eos_aware_waiting,long,76,0,256,,,5641.45945745986,10659.06110900687,10446.00009144051,14123.197337961756,11595.777116512181,14558.505025488557,12257.915354944998,15438.618919695728
token_count_only_waiting,all,200,0,108.025,6.552187123839535,707.8000140527658,1535.185004468076,3080.8614789275452,3068.876922770869,7078.7361162598245,3331.146898376756,7370.137458102545,3558.1684632715746,7851.722351845819
token_count_only_waiting,short,124,0,17.330645161290324,,,1578.4394459915347,2035.8490795479156,3092.699737160001,3452.774275455158,3410.5471656250297,3720.047188439639,3727.600683590862,4088.702845876104
token_count_only_waiting,long,76,0,256,,,1303.5628930083476,6327.029047417454,2954.2780949850567,7441.099822986871,3189.6581677137874,7803.101339726709,3370.4499889863655,8135.47691234271
